1,52,19244.3165195302,60,60
1,53,20296.2283693597,60,
1,54,20147.5930980442,60,
1,55,20862.8021658035,60,
1,56,22505.1327943465,60,
1,57,22306.2521874495,60,
1,58,22750.4725480204,60,
1,59,0,60,
1,60,0,60,
1,61,0,60,
1,62,0,60,
1,63,0,60,
1,64,0,60,
1,65,0,60,
1,66,0,60,
1,67,0,60,
1,68,0,60,
1,69,0,60,
1,70,0,60,
1,71,0,60,
1,72,0,60,
1,73,0,60,
1,74,0,60,
1,75,0,60,
2,52,23583.0201085,60,
2,53,26629.0271555895,60,
2,54,24107.5559096191,60,
2,55,25887.7691069931,60,
2,56,23287.02619434,60,
2,57,0,60,
2,58,23123.0438073596,60,
2,59,22466.2375104053,60,
2,60,28803.02896777,60,
2,61,0,60,
2,62,0,60,
2,63,0,60,
2,64,0,60,
2,65,0,60,
2,66,0,60,
2,67,0,60,
2,68,0,60,
2,69,0,60,
2,70,0,60,
2,71,0,60,
2,72,0,60,
2,73,0,60,
2,74,0,60,
2,75,0,60,
3,52,20567.117812578,60,
3,53,0,60,
3,54,20748.813602785,60,
3,55,22314.3243586926,60,
3,56,24046.4166252726,60,
3,57,21155.0688758267,60,
3,58,20808.9105853887,60,
3,59,20719.3006711203,60,
3,60,0,60,
3,61,30708.4855113356,60,
3,62,32278.6100902876,60,
3,63,30917.6631302349,60,
3,64,0,60,
3,65,0,60,
3,66,0,60,
3,67,0,60,
3,68,0,60,
3,69,0,60,
3,70,0,60,
3,71,0,60,
3,72,0,60,
3,73,0,60,
3,74,0,60,
3,75,0,60,
4,52,0,60,
4,53,18754.9334060166,60,
4,54,0,60,
4,55,18232.1116228041,60,
4,56,0,60,
4,57,20373.5467869158,60,
4,58,0,60,
4,59,0,60,
4,60,0,60,
4,61,0,60,
4,62,0,60,
4,63,0,60,
4,64,0,60,
4,65,0,60,
4,66,0,60,
4,67,0,60,
4,68,0,60,
4,69,0,60,
4,70,0,60,
4,71,0,60,
4,72,0,60,
4,73,0,60,
4,74,0,60,
4,75,0,60,
5,52,0,60,
5,53,0,60,
5,54,0,60,
5,55,0,60,
5,56,0,60,
5,57,0,60,
5,58,0,60,
5,59,0,60,
5,60,0,60,
5,61,0,60,
5,62,0,60,
5,63,0,60,
5,64,0,60,
5,65,0,60,
5,66,0,60,
5,67,0,60,
5,68,0,60,
5,69,0,60,
5,70,0,60,
5,71,0,60,
5,72,0,60,
5,73,0,60,
5,74,0,60,
5,75,0,60,
6,52,32124.6337727234,60,
6,53,34412.9471498086,60,
6,54,34890.6200314828,60,
6,55,36569.9569901403,60,
6,56,35267.2868876789,60,
6,57,32082.3863445851,60,
6,58,28934.2808511274,60,
6,59,28912.8959011682,60,
6,60,34757.3417722982,60,
6,61,35276.4988369816,60,
6,62,34454.9076497994,60,
6,63,37712.4777644456,60,
6,64,33833.8411181178,60,
6,65,0,60,
6,66,0,60,
6,67,0,60,
6,68,0,60,
6,69,0,60,
6,70,0,60,
6,71,0,60,
6,72,0,60,
6,73,0,60,
6,74,0,60,
6,75,0,60,
7,52,26118.864392409,60,
7,53,0,60,
7,54,21965.4181514327,60,
7,55,23216.5317827397,60,
7,56,22242.4836234448,60,
7,57,22589.6235343917,60,
7,58,0,60,
7,59,0,60,
7,60,0,60,
7,61,0,60,
7,62,28755.2920837312,60,
7,63,0,60,
7,64,0,60,
7,65,0,60,
7,66,0,60,
7,67,0,60,
7,68,0,60,
7,69,0,60,
7,70,0,60,
7,71,0,60,
7,72,0,60,
7,73,0,60,
7,74,0,60,
