1,52,1,60,60
1,53,1,60,
1,54,1,60,
1,55,1,60,
1,56,1,60,
1,57,1,60,
1,58,1,60,
1,59,0,60,
1,60,0,60,
1,61,0,60,
1,62,0,60,
1,63,0,60,
1,64,0,60,
1,65,0,60,
1,66,0,60,
1,67,0,60,
1,68,0,60,
1,69,0,60,
1,70,0,60,
1,71,0,60,
1,72,0,60,
1,73,0,60,
1,74,0,60,
1,75,0,60,
2,52,1,60,
2,53,1,60,
2,54,1,60,
2,55,1,60,
2,56,1,60,
2,57,0,60,
2,58,1,60,
2,59,1,60,
2,60,1,60,
2,61,0,60,
2,62,0,60,
2,63,0,60,
2,64,0,60,
2,65,0,60,
2,66,0,60,
2,67,0,60,
2,68,0,60,
2,69,0,60,
2,70,0,60,
2,71,0,60,
2,72,0,60,
2,73,0,60,
2,74,0,60,
2,75,0,60,
3,52,1,60,
3,53,0,60,
3,54,1,60,
3,55,1,60,
3,56,1,60,
3,57,1,60,
3,58,1,60,
3,59,1,60,
3,60,0,60,
3,61,1,60,
3,62,1,60,
3,63,1,60,
3,64,0,60,
3,65,0,60,
3,66,0,60,
3,67,0,60,
3,68,0,60,
3,69,0,60,
3,70,0,60,
3,71,0,60,
3,72,0,60,
3,73,0,60,
3,74,0,60,
3,75,0,60,
4,52,0,60,
4,53,1,60,
4,54,0,60,
4,55,1,60,
4,56,0,60,
4,57,1,60,
4,58,0,60,
4,59,0,60,
4,60,0,60,
4,61,0,60,
4,62,0,60,
4,63,0,60,
4,64,0,60,
4,65,0,60,
4,66,0,60,
4,67,0,60,
4,68,0,60,
4,69,0,60,
4,70,0,60,
4,71,0,60,
4,72,0,60,
4,73,0,60,
4,74,0,60,
4,75,0,60,
5,52,0,60,
5,53,0,60,
5,54,0,60,
5,55,0,60,
5,56,0,60,
5,57,0,60,
5,58,0,60,
5,59,0,60,
5,60,0,60,
5,61,0,60,
5,62,0,60,
5,63,0,60,
5,64,0,60,
5,65,0,60,
5,66,0,60,
5,67,0,60,
5,68,0,60,
5,69,0,60,
5,70,0,60,
5,71,0,60,
5,72,0,60,
5,73,0,60,
5,74,0,60,
5,75,0,60,
6,52,1,60,
6,53,1,60,
6,54,1,60,
6,55,1,60,
6,56,1,60,
6,57,1,60,
6,58,1,60,
6,59,1,60,
6,60,1,60,
6,61,1,60,
6,62,1,60,
6,63,1,60,
6,64,1,60,
6,65,0,60,
6,66,0,60,
6,67,0,60,
6,68,0,60,
6,69,0,60,
6,70,0,60,
6,71,0,60,
6,72,0,60,
6,73,0,60,
6,74,0,60,
6,75,0,60,
7,52,1,60,
7,53,0,60,
7,54,1,60,
7,55,1,60,
7,56,1,60,
7,57,1,60,
7,58,0,60,
7,59,0,60,
7,60,0,60,
7,61,0,60,
7,62,1,60,
7,63,0,60,
7,64,0,60,
7,65,0,60,
7,66,0,60,
7,67,0,60,
7,68,0,60,
7,69,0,60,
7,70,0,60,
7,71,0,60,
7,72,0,60,
7,73,0,60,
7,74,0,60,
7,75,0,60,
8,52,1,60,
8,53,1,60,
8,54,1,60,
8,55,1,60,
8,56,1,60,
8,57,1,60,
8,58,1,60,
8,59,0,60,
8,60,0,60,
8,61,0,60,
8,62,0,60,
8,63,0,60,
8,64,0,60,
8,65,0,60,
8,66,0,60,
8,67,0,60,
8,68,0,60,
8,69,0,60,
8,70,0,60,
8,71,0,60,
8,72,0,60,
8,73,0,60,
8,74,0,60,
8,75,0,60,
9,52,1,60,
9,53,0,60,
9,54,1,60,
9,55,1,60,
9,56,0,60,
9,57,1,60,
9,58,1,60,
9,59,1,60,
9,60,0,60,
9,61,0,60,
9,62,0,60,
9,63,0,60,
9,64,0,60,
9,65,0,60,
9,66,0,60,
9,67,0,60,
9,68,0,60,
9,69,0,60,
9,70,0,60,
9,71,0,60,
9,72,0,60,
9,73,0,60,
9,74,0,60,
9,75,0,60,
10,52,1,60,
10,53,1,60,
10,54,1,60,
10,55,0,60,
10,56,1,60,
10,57,1,60,
10,58,1,60,
10,59,1,60,
10,60,0,60,
10,61,0,60,
10,62,0,60,
10,63,0,60,
10,64,0,60,
10,65,0,60,
10,66,0,60,
10,67,0,60,
10,68,0,60,
10,69,0,60,
10,70,0,60,
10,71,0,60,
10,72,0,60,
10,73,0,60,
10,74,0,60,
10,75,0,60,
11,52,0,60,
11,53,1,60,
11,54,1,60,
11,55,1,60,
11,56,0,60,
11,57,1,60,
11,58,1,60,
11,59,1,60,
11,60,0,60,
11,61,0,60,
11,62,0,60,
11,63,0,60,
11,64,0,60,
11,65,0,60,
11,66,0,60,
11,67,0,60,
11,68,0,60,
11,69,0,60,
11,70,0,60,
11,71,0,60,
11,72,0,60,
11,73,0,60,
11,74,0,60,
11,75,0,60,
12,52,1,60,
12,53,1,60,
12,54,1,60,
12,55,1,60,
12,56,1,60,
12,57,1,60,
12,58,1,60,
12,59,1,60,
12,60,1,60,
12,61,1,60,
12,62,1,60,
12,63,1,60,
12,64,1,60,
12,65,1,60,
12,66,0,60,
12,67,0,60,
12,68,0,60,
12,69,0,60,
12,70,0,60,
12,71,0,60,
12,72,0,60,
12,73,0,60,
12,74,1,60,
12,75,1,60,
13,52,1,60,
13,53,1,60,
13,54,1,60,
13,55,1,60,
13,56,1,60,
13,57,1,60,
13,58,0,60,
13,59,1,60,
13,60,0,60,
13,61,0,60,
13,62,0,60,
13,63,0,60,
13,64,0,60,
13,65,0,60,
13,66,0,60,
13,67,0,60,
